ន	និង|នៃ|នេះ|នៅ|នៅក្នុង|នឹង
បាន	បាន|បានជា|បាន៖|បានជាប់គាំង|បានជាមួយនឹង|បានជាប់ពាក់ព័ន្ធ
ដោ	ដោយ|ដោះស្រាយ|ដោយសារ|ដោយសារតែ|ដោយឡែក|ដោះ
ដោយ	ដោយ|ដោយសារ|ដោយសារតែ|ដោយឡែក|ដោយសារព័ត៌មាន|ដោយសាមញ្ញ
អ្	អ្នក|អ្វី|អ្នកប្រើប្រាស់|អ្នកដទៃ|អ្នកជំនាញ|អ្នកលេង
អ្ន	អ្នក|អ្នកប្រើប្រាស់|អ្នកដទៃ|អ្នកជំនាញ|អ្នកលេង|អ្នកវិទ្យាសាស្ត្រ
អ្នក	អ្នក|អ្នកប្រើប្រាស់|អ្នកដទៃ|អ្នកជំនាញ|អ្នកលេង|អ្នកវិទ្យាសាស្ត្រ
ឬ	ឬ|ឬមួយ|ឬងក់|ឬមួក|ឬស|ឬបញ្ចូល
ព	ពី|ពួកគេ|ពេល|ពិភពលោក|ពេលវេលា|ពាក់ព័ន្ធ
ពី	ពី|ពីរ|ពីមុន|ពីក្រោយ|ពីលើ|ពីព្រោះ
ស	សម្រាប់|សង្គម|សំខាន់|សុខភាព|សេដ្ឋកិច្ច|សកម្មភាព
សម	សម្រាប់|សមត្ថភាព|សម្រេចបាន|សម័យ|សម្រាក|សម្រួល
សម្	សម្រាប់|សម្រេចបាន|សម្រាក|សម្រួល|សម្ងាត់|សម្រប
សម្រ	សម្រាប់|សម្រេចបាន|សម្រាក|សម្រួល|សម្រប|សម្រេចចិត្ត
សម្រា	សម្រាប់|សម្រាក|សម្រាក៖|សម្រាល|សម្រាប់៖|សម្រាំង
ល	លើ|ល្អ|លើស|ល្បែង|លក្ខណៈ|លើកកម្ពស់
លើ	លើ|លើស|លើកកម្ពស់|លើកទឹកចិត្ត|លើក|លើកឡើង
ដូ	ដូចជា|ដូច្នេះ|ដូចគ្នា|ដូច|ដូច្នេះហើយ|ដូចនេះ
ដូច	ដូចជា|ដូច្នេះ|ដូចគ្នា|ដូច|ដូច្នេះហើយ|ដូចនេះ
ដូចជ	ដូចជា|ដូចជាមួយ|ដូចជាមួក|ដូចជា៖
ដូចជា	ដូចជា|ដូចជាមួយ|ដូចជាមួក|ដូចជា៖
មន	មនុស្ស|មនុស្សជាតិ|មន្ត|មនុស្ស៖|មនសិការ|មន្ទីរពេទ្យ
មនុ	មនុស្ស|មនុស្សជាតិ|មនុស្ស៖|មនុស្សធម៌|មនុស្សយន្ត|មនុស្សសាស្ត្រ
មនុស	មនុស្ស|មនុស្សជាតិ|មនុស្ស៖|មនុស្សធម៌|មនុស្សយន្ត|មនុស្សសាស្ត្រ
មនុស្	មនុស្ស|មនុស្សជាតិ|មនុស្ស៖|មនុស្សធម៌|មនុស្សយន្ត|មនុស្សសាស្ត្រ
ពួ	ពួកគេ|ពួកវា|ពួក|ពួកយើង|ពួរ|ពួកគេ៖
ពួក	ពួកគេ|ពួកវា|ពួក|ពួកយើង|ពួកគេ៖|ពួកគាត់
ពួកគ	ពួកគេ|ពួកគេ៖|ពួកគាត់
ពួកគេ	ពួកគេ|ពួកគេ៖
ដើ	ដើម្បី|ដើរ|ដើម|ដើរតួ|ដើម្បីឱ្យ|ដើមឈើ
ដើម	ដើម្បី|ដើម|ដើម្បីឱ្យ|ដើមឈើ|ដើមទុន|ដើមកំណើត
ដើម្	ដើម្បី|ដើម្បីឱ្យ|ដើម្បីឲ្យ
ដើម្ប	ដើម្បី|ដើម្បីឱ្យ|ដើម្បីឲ្យ
មិ	មិន|មិត្តភ័ក្តិ|មិត្ត|មិត្តភក្តិ|មិត្តភាព|មិញ
មិន	មិន
នៅ	នៅ|នៅក្នុង|នៅពេល|នៅលើ|នៅតែ|នៅជិត
អំ	អំពី|អំឡុង|អំណាច|អំណោយផល|អំពើ|អំបិល
អំព	អំពី|អំពើ|អំពើពុករលួយ|អំពើហិង្សា|អំពាវនាវ|អំពើហឹង្សា
អំពី	អំពី|អំពីមុខងារ
មួ	មួយ|មួយចំនួន|មួយចំនួន៖|មួក|មួយ៖|មួន
មួយ	មួយ|មួយចំនួន|មួយចំនួន៖|មួយ៖|មួយចំណែក|មួយនឹង
ថ	ថា|ថ្ងៃ|ថ្មី|ថាមពល|ថែមទាំង|ថែទាំ
ថា	ថា|ថាមពល|ថាមពល៖|ថា៖|ថាមពលរហ័ស|ថាស
នៅក	នៅក្នុង|នៅក្រោម|នៅក្បែរ|នៅក្នុង៖
នៅក្	នៅក្នុង|នៅក្រោម|នៅក្បែរ|នៅក្នុង៖
នៅក្ន	នៅក្នុង|នៅក្នុង៖
សង	សង្គម|សង្គម៖|សង្កត់ធ្ងន់|សង្គ្រាម|សង្ឃឹម|សង្ខេប
សង្	សង្គម|សង្គម៖|សង្កត់ធ្ងន់|សង្គ្រាម|សង្ឃឹម|សង្ខេប
សង្គ	សង្គម|សង្គម៖|សង្គ្រាម|សង្គ្រោះ|សង្គ|សង្គមជា
សង្គម	សង្គម|សង្គម៖|សង្គមជា|សង្គមកិច្ច|សង្គមរស់រវើក|សង្គមជាតិ
ផ	ផ្សេង|ផ្តល់|ផ្នែក|ផងដែរ|ផ្ទាល់ខ្លួន|ផល
ផ្	ផ្សេង|ផ្តល់|ផ្នែក|ផ្ទាល់ខ្លួន|ផ្លូវចិត្ត|ផ្គុំ
ផ្ស	ផ្សេង|ផ្សព្វផ្សាយ|ផ្សំ|ផ្សារភ្ជាប់|ផ្សងព្រេង|ផ្សាយ
ផ្សេ	ផ្សេង|ផ្សេងទៀត|ផ្សេងគ្នា
ផ្សេង	ផ្សេង|ផ្សេងទៀត|ផ្សេងគ្នា
បុ	បុគ្គល|បុគ្គលិក|បុរាណ|បុព្វហេតុ|បុណ្យ|បុរស
បុគ	បុគ្គល|បុគ្គលិក|បុគ្គល៖|បុគ្គលិក៖|បុគគល|បុគ្គ
បុគ្	បុគ្គល|បុគ្គលិក|បុគ្គល៖|បុគ្គលិក៖|បុគ្គ|បុគ្ក
បុគ្គ	បុគ្គល|បុគ្គលិក|បុគ្គល៖|បុគ្គលិក៖|បុគ្គ
នឹ	នឹង|នឹកស្មាន|នឹក|នឹកឃើញ|នឹករលឹក|នឹង៖
នឹង	នឹង|នឹង៖
សំ	សំខាន់|សំដៅ|សំណួរ|សំណុំ|សំឡេង|សំណាង
សំខ	សំខាន់|សំខាន់៖|សំខា
សំខា	សំខាន់|សំខាន់៖|សំខា
សំខាន	សំខាន់|សំខាន់៖
ខ	ខ្ញុំ|ខ្លួន|ខណៈពេល|ខ្លាំង|ខ្ពស់|ខ៖
ខ្	ខ្ញុំ|ខ្លួន|ខ្លាំង|ខ្ពស់|ខ្លះ|ខ្យល់
ខ្ញ	ខ្ញុំ|ខ្ញុំ៖|ខ្ញែក|ខ្ញី|ខ្ញុំបាទ
ខ្ញុ	ខ្ញុំ|ខ្ញុំ៖|ខ្ញុំបាទ
ខ្ញុំ	ខ្ញុំ|ខ្ញុំ៖|ខ្ញុំបាទ
ទ	ទៅ|ទេ|ទៀត|ទំនាក់ទំនង|ទាំង|ទី
ទៅ	ទៅ|ទៅក្នុង|ទៅនឹង|ទៅរក|ទៅជា|ទៅមក
ដល	ដល់|ដល់៖
ដល់	ដល់|ដល់៖
ឱ	ឱ្យ|ឱកាស|ឱសថ|ឱ្យដឹង|ឱន|ឱប
ឱ្	ឱ្យ|ឱ្យដឹង|ឱ្យ៖|ឱ្យដឹកនាំ
ឱ្យ	ឱ្យ|ឱ្យដឹង|ឱ្យ៖|ឱ្យដឹកនាំ
ដ៏	ដ៏|ដ៏ទៃ
ជី	ជីវិត|ជីវ|ជីវភាព|ជីវវិទ្យា|ជីវជាតិ|ជីវសាស្រ្ត
ជីវ	ជីវិត|ជីវ|ជីវភាព|ជីវវិទ្យា|ជីវជាតិ|ជីវសាស្រ្ត
ជីវិ	ជីវិត|ជីវិត៖
ជីវិត	ជីវិត|ជីវិត៖
យ៉	យ៉ាង|យ៉ាងណា|យ៉ា|យ៉ាងដូចម្តេច|យ៉ាងម៉េច|យ៉ាងហោចណាស់
យ៉ា	យ៉ាង|យ៉ាងណា|យ៉ា|យ៉ាងដូចម្តេច|យ៉ាងម៉េច|យ៉ាងហោចណាស់
យ៉ាង	យ៉ាង|យ៉ាងណា|យ៉ាងដូចម្តេច|យ៉ាងម៉េច|យ៉ាងហោចណាស់|យ៉ាងណាមិញ
ត	ត្រូវបាន|តាម|តាមរយៈ|តើ|តម្លៃ|តួនាទី
ត្	ត្រូវបាន|ត្រូវ|ត្រឹមត្រូវ|ត្រឹមតែ|ត្រូវការ|ត្រូវតែ
ត្រ	ត្រូវបាន|ត្រូវ|ត្រឹមត្រូវ|ត្រឹមតែ|ត្រូវការ|ត្រូវតែ
ត្រូ	ត្រូវបាន|ត្រូវ|ត្រូវការ|ត្រូវតែ|ត្រូពិច|ត្រូវការការយកចិត្តទុកដាក់
ត្រូវ	ត្រូវបាន|ត្រូវ|ត្រូវការ|ត្រូវតែ|ត្រូវការការយកចិត្តទុកដាក់|ត្រូវការវា
នូ	នូវ|នូវែលសេឡង់|នូ|នូ។|នូវ៖|នូដ៏
នូវ	នូវ|នូវែលសេឡង់|នូវ៖
ពេ	ពេល|ពេលវេលា|ពេញ|ពេក|ពេញចិត្ត|ពេលព្រឹក
ពេល	ពេល|ពេលវេលា|ពេលព្រឹក|ពេលល្ងាច|ពេលនេះ|ពេលណា
គ	គ្នា|គឺជា|គឺ|គំនិត|គិត|គួរឱ្យ
គ្	គ្នា|គ្រប់|គ្រប់គ្រង|គ្មាន|គ្រាន់តែ|គ្រួសារ
គ្ន	គ្នា|គ្នា៖|គ្នីគ្នា
គ្នា	គ្នា|គ្នា៖
ថ្	ថ្ងៃ|ថ្មី|ថ្លៃ|ថ្នាក់|ថ្នាំ|ថ្ងៃត្រង់
ថ្ង	ថ្ងៃ|ថ្ងៃត្រង់|ថ្ងៃ៖|ថ្ងៃស្អែក|ថ្ងៃទី|ថ្ងៃអាទិត្យ
ថ្ងៃ	ថ្ងៃ|ថ្ងៃត្រង់|ថ្ងៃ៖|ថ្ងៃស្អែក|ថ្ងៃទី|ថ្ងៃអាទិត្យ
ជួ	ជួយ|ជួបប្រទះ|ជួប|ជួរ|ជួសជុល|ជួល
ជួយ	ជួយ|ជួយសង្គ្រោះ|ជួយ៖|ជួយសម្រួល
គឺ	គឺជា|គឺ|គឺ៖|គឺជាក់ស្តែង|គឺជាប់ទាក់ទង|គឺជាមួយនឹង
គឺជ	គឺជា|គឺជាក់ស្តែង|គឺជាប់ទាក់ទង|គឺជាមួយនឹង|គឺជាប់ពាក់ព័ន្ធ|គឺជាមួយ
គឺជា	គឺជា|គឺជាក់ស្តែង|គឺជាប់ទាក់ទង|គឺជាមួយនឹង|គឺជាប់ពាក់ព័ន្ធ|គឺជាមួយ
វប	វប្បធម៌|វប្បធ|វប្បធម៍|វប្បធម៌៖|វប្បកម្ម
វប្	វប្បធម៌|វប្បធ|វប្បធម៍|វប្បធម៌៖|វប្បកម្ម
វប្ប	វប្បធម៌|វប្បធ|វប្បធម៍|វប្បធម៌៖|វប្បកម្ម
វប្បធ	វប្បធម៌|វប្បធ|វប្បធម៍|វប្បធម៌៖
បញ	បញ្ហា|បញ្ញា|បញ្ចូល|បញ្ចប់|បញ្ជី|បញ្ជូន
បញ្	បញ្ហា|បញ្ញា|បញ្ចូល|បញ្ចប់|បញ្ជី|បញ្ជូន
បញ្ហ	បញ្ហា|បញ្ហា៖
បញ្ហា	បញ្ហា|បញ្ហា៖
ទេ	ទេ|ទេសចរណ៍|ទេសភាព|ទេពកោសល្យ|ទេសចរ|ទេវកថា
ធ	ធ្វើ|ធ្វើឱ្យ|ធនធាន|ធានា|ធម្មជាតិ|ធំ
ធ្	ធ្វើ|ធ្វើឱ្យ|ធ្វើការ|ធ្វើដំណើរ|ធ្លាប់|ធ្វើអោយ
ធ្វ	ធ្វើ|ធ្វើឱ្យ|ធ្វើការ|ធ្វើដំណើរ|ធ្វើអោយ|ធ្វើឡើង
ធ្វើ	ធ្វើ|ធ្វើឱ្យ|ធ្វើការ|ធ្វើដំណើរ|ធ្វើអោយ|ធ្វើឡើង
ទៀ	ទៀត|ទៀងទាត់|ទៀត៖|ទៀតផង|ទៀងទាត់៖|ទៀន
ទៀត	ទៀត|ទៀត៖|ទៀតផង
ផ្ត	ផ្តល់|ផ្តោត|ផ្តល់ឱ្យ|ផ្តួចផ្តើម|ផ្តាច់|ផ្តាសាយ
ផ្តល	ផ្តល់|ផ្តល់ឱ្យ|ផ្តល់ឲ្យ|ផ្តល់ជូន|ផ្តល់អោយ
ផ្តល់	ផ្តល់|ផ្តល់ឱ្យ|ផ្តល់ឲ្យ|ផ្តល់ជូន|ផ្តល់អោយ
កា	កាន់តែ|ការយល់ដឹង|ការងារ|ការអប់រំ|ការអភិវឌ្ឍន៍|កាត់បន្ថយ
កាន	កាន់តែ|កានិច|កាន់|កាន់កាប់|កានិក|កាន់អំណាច
កាន់	កាន់តែ|កាន់|កាន់កាប់|កាន់អំណាច
កាន់ត	កាន់តែ
ហ	ហើយ|ហេតុផល|ហិរញ្ញវត្ថុ|ហានិភ័យ|ហេ|ហ្គេម
ហើ	ហើយ|ហើយក៏|ហើយនិយាយ|ហើរ|ហើម|ហើយនិរន្តរភាព
ហើយ	ហើយ|ហើយក៏|ហើយនិយាយ|ហើយនិរន្តរភាព|ហើយនិង
សុ	សុខភាព|សុវត្ថិភាព|សុខុមាលភាព|សុខភាពល្អ|សុខភាព៖|សុភមង្គល
សុខ	សុខភាព|សុខុមាលភាព|សុខភាពល្អ|សុខភាព៖|សុខ|សុខដុមរមនា
សុខភ	សុខភាព|សុខភាពល្អ|សុខភាព៖|សុខភា|សុខភាពទូទៅ|សុខភាពអវិជ្ជមាន
សុខភា	សុខភាព|សុខភាពល្អ|សុខភាព៖|សុខភា|សុខភាពទូទៅ|សុខភាពអវិជ្ជមាន
ទំ	ទំនាក់ទំនង|ទំនើប|ទំនិញ|ទំនួល|ទំនៀមទម្លាប់|ទំនុកចិត្ត
ទំន	ទំនាក់ទំនង|ទំនើប|ទំនិញ|ទំនួល|ទំនៀមទម្លាប់|ទំនុកចិត្ត
ទំនា	ទំនាក់ទំនង|ទំនាក់ទំនង៖|ទំនាញ|ទំនាប|ទំនាក់ទំនងជា|ទំនាក់ទំនងជាញឹកញាប់
ទំនាក	ទំនាក់ទំនង|ទំនាក់ទំនង៖|ទំនាក់ទំនងជា|ទំនាក់ទំនងជាញឹកញាប់|ទំនាក់ទំនងជាក់លាក់|ទំនាក់ទំនងជាមួយ
បង	បង្កើត|បង្ហាញ|បង្កើន|បង្កើតឡើង|បង្រៀន|បង្ក
បង្	បង្កើត|បង្ហាញ|បង្កើន|បង្កើតឡើង|បង្រៀន|បង្ក
បង្ក	បង្កើត|បង្កើន|បង្កើតឡើង|បង្ក|បង្កប់|បង្កឱ្យ
បង្កើ	បង្កើត|បង្កើន|បង្កើតឡើង|បង្កើតឡើងវិញ|បង្កើតឡើ
ការ	ការយល់ដឹង|ការងារ|ការអប់រំ|ការអភិវឌ្ឍន៍|ការអនុវត្ត|ការ
ការយ	ការយល់ដឹង|ការយល់|ការយកចិត្តទុកដាក់|ការយល់ឃើញ|ការយល់ព្រម|ការយល់ដឹង៖
ការយល	ការយល់ដឹង|ការយល់|ការយល់ឃើញ|ការយល់ព្រម|ការយល់ដឹង៖|ការយល់ដឹងពី
របៀ	របៀប|របៀបរៀបរយ|របៀប៖|របៀបវារៈ|របៀង|របៀបវាយតម្លៃ
របៀប	របៀប|របៀបរៀបរយ|របៀប៖|របៀបវារៈ|របៀបវាយតម្លៃ|របៀបរចនា
ក៏	ក៏|ក៏ដោយ|ក៏ដូចជា|ក៏ដោយ៖|ក៏ដូចគ្នា
តា	តាម|តាមរយៈ|តាមដាន|តាំងពី|តាមពិត|តារាសាស្ត្រ
តាម	តាម|តាមរយៈ|តាមដាន|តាមពិត|តាមដាន៖|តាម៖
សេ	សេដ្ឋកិច្ច|សេវាកម្ម|សេវា|សេដ្ឋកិច្ច៖|សេចក្តី|សេណារីយ៉ូ
សេដ	សេដ្ឋកិច្ច|សេដ្ឋកិច្ច៖|សេដ្ឋកិច្ចកាន់តែ|សេដ្ឋវិទូ|សេដ្ឋកិច្ចការងារ|សេដ្ឋវិទូវិភាគ
សេដ្	សេដ្ឋកិច្ច|សេដ្ឋកិច្ច៖|សេដ្ឋកិច្ចកាន់តែ|សេដ្ឋវិទូ|សេដ្ឋកិច្ចការងារ|សេដ្ឋវិទូវិភាគ
សេដ្ឋ	សេដ្ឋកិច្ច|សេដ្ឋកិច្ច៖|សេដ្ឋកិច្ចកាន់តែ|សេដ្ឋវិទូ|សេដ្ឋកិច្ចការងារ|សេដ្ឋវិទូវិភាគ
ប្	ប្រកបដោយ|ប្រចាំ|ប្រព័ន្ធ|ប្រើ|ប្រសិទ្ធភាព|ប្រើប្រាស់
ប្រ	ប្រកបដោយ|ប្រចាំ|ប្រព័ន្ធ|ប្រើ|ប្រសិទ្ធភាព|ប្រើប្រាស់
ប្រក	ប្រកបដោយ|ប្រកួតប្រជែង|ប្រកែក|ប្រកួត|ប្រកាន់ខ្ជាប់|ប្រកាន់
ប្រកប	ប្រកបដោយ|ប្រកបរបរ|ប្រកប
អាហ	អាហារ|អាហារូបត្ថម្ភ|អាហ្រ្វិក|អាហារ៖|អាហ្វ្រិក|អាហារូបករណ៍
អាហា	អាហារ|អាហារូបត្ថម្ភ|អាហារ៖|អាហារូបករណ៍|អាហារូបត្ថ|អាហារូបត្ថម្ភ៖
អាហារ	អាហារ|អាហារូបត្ថម្ភ|អាហារ៖|អាហារូបករណ៍|អាហារូបត្ថ|អាហារូបត្ថម្ភ៖
តាមរ	តាមរយៈ|តាមរចនាប័ទ្ម|តាមរចនាសម្ព័ន្ធ|តាមរយៈ៖|តាមរលក|តាមរដូវ
តាមរយ	តាមរយៈ|តាមរយៈ៖
ប្រច	ប្រចាំ|ប្រចាំ៖|ប្រចៀវ
ប្រចា	ប្រចាំ|ប្រចាំ៖
តើ	តើ
ប្រព	ប្រព័ន្ធ|ប្រពៃណី|ប្រព្រឹត្ត|ប្រព្រឹត្តទៅ|ប្រពន្ធ|ប្រព័ន្ធ៖
ប្រព័	ប្រព័ន្ធ|ប្រព័ន្ធ៖
បច	បច្ចេកវិទ្យា|បច្ចុប្បន្ន|បច្ចេកទេស|បច្ចេកវិទ្យា៖|បច្ចុប្បន្នភាព|បច្ចេកវិជ្ជា
បច្	បច្ចេកវិទ្យា|បច្ចុប្បន្ន|បច្ចេកទេស|បច្ចេកវិទ្យា៖|បច្ចុប្បន្នភាព|បច្ចេកវិជ្ជា
បច្ច	បច្ចេកវិទ្យា|បច្ចុប្បន្ន|បច្ចេកទេស|បច្ចេកវិទ្យា៖|បច្ចុប្បន្នភាព|បច្ចេកវិជ្ជា
បច្ចេ	បច្ចេកវិទ្យា|បច្ចេកទេស|បច្ចេកវិទ្យា៖|បច្ចេកវិជ្ជា|បច្ចេកទេសចម្អិន|បច្ចេកវិជ្ជា៖
ការង	ការងារ|ការងារ៖|ការងូតទឹក|ការងា|ការងើប|ការងឿងឆ្ងល់
ការងា	ការងារ|ការងារ៖|ការងា|ការងាយស្រួល|ការងាក
ពិ	ពិភពលោក|ពិតជា|ពិត|ពិចារណា|ពិភព|ពិធី
ពិភ	ពិភពលោក|ពិភព|ពិភាក្សា|ពិភពលោក៖|ពិភាក្សា៖
ពិភព	ពិភពលោក|ពិភព|ពិភពលោក៖
ពិភពល	ពិភពលោក|ពិភពលោក៖
ទា	ទាំង|ទាំងនេះ|ទាំងអស់|ទាក់ទង|ទាំងមូល|ទាមទារ
ទាំ	ទាំង|ទាំងនេះ|ទាំងអស់|ទាំងមូល|ទាំងនោះ|ទាំងស្រុង
ទាំង	ទាំង|ទាំងនេះ|ទាំងអស់|ទាំងមូល|ទាំងនោះ|ទាំងស្រុង
ប៉	ប៉ះពាល់|ប៉ុន្តែ|ប៉ុណ្ណោះ|ប៉ុន្មាន|ប៉ោម|ប៉ុណ្ណា
ប៉ះ	ប៉ះពាល់|ប៉ះ|ប៉ះពាល់៖|ប៉ះទង្គិច|ប៉ះពាល
ប៉ះព	ប៉ះពាល់|ប៉ះពាល់៖|ប៉ះពាល
ប៉ះពា	ប៉ះពាល់|ប៉ះពាល់៖|ប៉ះពាល
ឥ	ឥទ្ធិពល|ឥត|ឥឡូវនេះ|ឥរិយាបថ|ឥណ្ឌា|ឥន្ធនៈ
ឥទ	ឥទ្ធិពល|ឥទ្ធិព|ឥទ្ធិពល៖|ឥទ្ធិពលរវាង|ឥទិ្ធពល|ឥទ្ធិពលរយៈពេល
ឥទ្	ឥទ្ធិពល|ឥទ្ធិព|ឥទ្ធិពល៖|ឥទ្ធិពលរវាង|ឥទ្ធិពលរយៈពេល|ឥទ្ធិពលរលក
ឥទ្ធ	ឥទ្ធិពល|ឥទ្ធិព|ឥទ្ធិពល៖|ឥទ្ធិពលរវាង|ឥទ្ធិពលរយៈពេល|ឥទ្ធិពលរលក
ឥទ្ធិ	ឥទ្ធិពល|ឥទ្ធិព|ឥទ្ធិពល៖|ឥទ្ធិពលរវាង|ឥទ្ធិពលរយៈពេល|ឥទ្ធិពលរលក
ជាម	ជាមួយ|ជាមួយនឹង|ជាមួយគ្នា|ជាមុន|ជាមុខវិជ្ជា|ជាមូលដ្ឋាន
ជាមួ	ជាមួយ|ជាមួយនឹង|ជាមួយគ្នា|ជាមួយនិយោជក|ជាមួយនិយោជិត|ជាមួយ៖
ជាមួយ	ជាមួយ|ជាមួយនឹង|ជាមួយគ្នា|ជាមួយនិយោជក|ជាមួយនិយោជិត|ជាមួយ៖
ល្	ល្អ|ល្បែង|ល្បឿន|ល្ខោន|ល្អិត|ល្បី
ល្អ	ល្អ|ល្អិត|ល្អិតល្អន់|ល្អ៖|ល្អាង
ប្រើ	ប្រើ|ប្រើប្រាស់|ប្រើប្រាស់៖|ប្រើ៖|ប្រើការ|ប្រើការនិទាន
ផ្ន	ផ្នែក|ផ្នត់គំនិត|ផ្នែក៖|ផ្នូរ|ផ្នត់គំនិត៖|ផ្នត់
ផ្នែ	ផ្នែក|ផ្នែក៖
ផ្នែក	ផ្នែក|ផ្នែក៖
ច	ច្រើន|ចំពោះ|ចិត្ត|ចាំបាច់|ចូល|ចាប់អារម្មណ៍
ច្	ច្រើន|ច្បាប់|ច្បាស់|ច្បាស់លាស់|ច្នៃប្រឌិត|ច្រក
ច្រ	ច្រើន|ច្រក|ច្រឡំ|ច្រាន|ច្រលំ|ច្រៀង
ច្រើ	ច្រើន|ច្រើន៖|ច្រើ
ច្រើន	ច្រើន|ច្រើន៖
ខ្ល	ខ្លួន|ខ្លាំង|ខ្លះ|ខ្លី|ខ្លាញ់|ខ្លឹមសារ
ខ្លួ	ខ្លួន|ខ្លួនអ្នក|ខ្លួនខ្ញុំ|ខ្លួន៖|ខ្លួនអ្នកវិញ|ខ្លួនអ្នក៖
ខ្លួន	ខ្លួន|ខ្លួនអ្នក|ខ្លួនខ្ញុំ|ខ្លួន៖|ខ្លួនអ្នកវិញ|ខ្លួនអ្នក៖
ជាច	ជាច្រើន|ជាច្រើ|ជាច្រើន៖
ជាច្	ជាច្រើន|ជាច្រើ|ជាច្រើន៖
ជាច្រ	ជាច្រើន|ជាច្រើ|ជាច្រើន៖
តម	តម្លៃ|តម្រូវការ|តម្លាភាព|តម្រូវ|តម្រុយ|តម្រូវឱ្យ
តម្	តម្លៃ|តម្រូវការ|តម្លាភាព|តម្រូវ|តម្រុយ|តម្រូវឱ្យ
តម្ល	តម្លៃ|តម្លាភាព|តម្លាភា|តម្លៃ៖|តម្លា
តម្លៃ	តម្លៃ|តម្លៃ៖
ថ្ម	ថ្មី|ថ្ម|ថ្មើរជើង|ថ្មី៖|ថ្មោង|ថ្មើរជើង៖
ថ្មី	ថ្មី|ថ្មី៖
ប្រស	ប្រសិទ្ធភាព|ប្រសើរឡើង|ប្រសិនបើ|ប្រសើរ|ប្រសិទ្ធភាព៖|ប្រសាទ
ប្រសិ	ប្រសិទ្ធភាព|ប្រសិនបើ|ប្រសិទ្ធភាព៖|ប្រសិទ្ធិភាព|ប្រសិទ្ធភា
ទី	ទី|ទីផ្សារ|ទីក្រុង|ទីតាំង|ទីបំផុត|ទីកន្លែង
អ្វ	អ្វី|អ្វី៖
អ្វី	អ្វី|អ្វី៖
មក	មក|មកពី|មកវិញ|មកដល់|មកហើយ|មកទល់
ប៉ុ	ប៉ុន្តែ|ប៉ុណ្ណោះ|ប៉ុន្មាន|ប៉ុណ្ណា|ប៉ុប|ប៉ុន
ប៉ុន	ប៉ុន្តែ|ប៉ុន្មាន|ប៉ុន|ប៉ុនប៉ង
ប៉ុន្	ប៉ុន្តែ|ប៉ុន្មាន
ណ	ណាស់|ណាមួយ|ណា|ណែនាំ|ណ៍៖|ណ៖
ណា	ណាស់|ណាមួយ|ណា|ណា៖|ណាណូ|ណាត់ជួប
ណាស	ណាស់|ណាស៊ី|ណាស់៖
ណាស់	ណាស់|ណាស់៖
គំ	គំនិត|គំរូ|គំនូរ|គំរាមកំហែង|គំនូស|គំនិត៖
